PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
zzBTy,6k1/3r4/1P1P3p/2Pb1p2/8/4p2P/1R6/5K2 b - - 0 47,d5c6 b6b7 c6b7 b2b7 d7b7 c5c6 b7b1 f1e2,1742,76,87,74,advancedPawn crushing endgame sacrifice veryLong,https://lichess.org/fqPoFDFc/black#94,
zzBV7,5k2/7p/4p1P1/1p1pB2P/p2P4/Kp6/8/8 b - - 0 50,f8g8 g6h7 g8h7 e5f4 b5b4 a3b2,2379,81,84,104,advancedPawn bishopEndgame crushing endgame long quietMove,https://lichess.org/Ql610onu/black#100,
zzBdl,r3k2r/p2b3p/2p1p1p1/1p1q1p2/3Q4/2P5/P1P2PPP/1R2KB1R b Kkq - 1 19,e8e7 d4g7 e7d6 b1d1,1432,75,96,25227,crushing middlegame pin short,https://lichess.org/qOaOfucQ/black#38,Zukertort_Opening Zukertort_Opening_Black_Mustang_Defense
zzBfC,4r1k1/3R1ppp/4r3/p1P5/5b2/P5P1/1PPN1P1P/2K4R w - - 1 23,g3f4 e6e1 h1e1 e8e1,400,92,100,369,backRankMate endgame mate mateIn2 short,https://lichess.org/J84cVGLn#45,
zzBkm,6k1/1q3p2/1p4p1/p6p/2Pp1QPn/P2P3P/1P3P2/4B1K1 w - - 1 28,g1f1 b7h1 f1e2 h1e1 e2e1 h4g2 e1e2 g2f4,1917,76,94,6851,attraction crushing endgame fork master sacrifice veryLong,https://lichess.org/OxW04ykE#55,
zzBlA,5rk1/3q1p1p/1Pp2p2/3pb3/3Np3/2Q1P3/5PPP/R5K1 w - - 0 26,c3c6 d7c6 d4c6 e5a1,1313,76,93,536,advantage endgame short,https://lichess.org/vOfaDMOW#51,
zzBu0,3q1b1k/pp5p/2p1Q1p1/7r/1P3P2/P1p1P2P/7K/2R3R1 w - - 2 33,c1c3 d8d2 h2g3 d2c3,833,148,18,7,crushing endgame fork short,https://lichess.org/W8IB8vAP#65,
zzBvY,5n2/3b1pkp/p1p2np1/Pp1p4/1P6/2qBBN1P/5PP1/1Q4K1 b - - 1 23,f8e6 e3d2 c3d2 f3d2,1850,74,84,129,crushing middlegame short,https://lichess.org/RVSixmnF/black#46,
zzBwP,8/p4p1k/3Nb1p1/4Q2p/2q5/8/P1P2PP1/6K1 b - - 4 30,c4a2 d6e8 f7f6 e8f6,2296,85,88,769,crushing endgame master quietMove short,https://lichess.org/05MfvH0b/black#60,
zzC3D,2k3r1/1pp5/8/1P1p1n2/2qP4/Q1P2PP1/5K2/4R3 b - - 4 30,f5g3 a3a8 c8d7 a8g8,920,81,98,1018,crushing endgame short skewer,https://lichess.org/kd5HedXM/black#60,
zzC6G,8/pp3k2/5p2/3p3p/7P/P4P2/1P4P1/2K5 b - - 0 32,f7e6 g2g4 f6f5 g4g5,2251,76,82,147,advantage defensiveMove endgame pawnEndgame short,https://lichess.org/gdpvPbQG/black#64,
